Bundesland,Datum,Infizierte
Baden-Württemberg,2020-03-08,199
Baden-Württemberg,2020-03-09,234
Baden-Württemberg,2020-03-10,277
Baden-Württemberg,2020-03-11,367
Baden-Württemberg,2020-03-12,559
Baden-Württemberg,2020-03-13,814
Baden-Württemberg,2020-03-14,1024
Baden-Württemberg,2020-03-15,1415
Baden-Württemberg,2020-03-16,1750
Baden-Württemberg,2020-03-17,2437
Baden-Württemberg,2020-03-18,2926
Baden-Württemberg,2020-03-19,3546
Baden-Württemberg,2020-03-20,4238
Baden-Württemberg,2020-03-21,4735
Baden-Württemberg,2020-03-22,5431
Baden-Württemberg,2020-03-23,6166
Baden-Württemberg,2020-03-24,7122
Baden-Württemberg,2020-03-25,8345
Baden-Württemberg,2020-03-26,9648
Baden-Württemberg,2020-03-27,10976
Baden-Württemberg,2020-03-28,12106
Baden-Württemberg,2020-03-29,12913
Baden-Württemberg,2020-03-30,13872
Baden-Württemberg,2020-03-31,14961
Baden-Württemberg,2020-04-01,16248
Baden-Württemberg,2020-04-02,18638
Bayern,2020-03-08,217
Bayern,2020-03-09,256
Bayern,2020-03-10,315
Bayern,2020-03-11,366
Bayern,2020-03-12,517
Bayern,2020-03-13,661
Bayern,2020-03-14,923
Bayern,2020-03-15,1127
Bayern,2020-03-16,1343
Bayern,2020-03-17,1718
Bayern,2020-03-18,2285
Bayern,2020-03-19,2946
Bayern,2020-03-20,3821
Bayern,2020-03-21,4578
Bayern,2020-03-22,5549
Bayern,2020-03-23,6301
Bayern,2020-03-24,7166
Bayern,2020-03-25,8602
Bayern,2020-03-26,10387
Bayern,2020-03-27,11666
Bayern,2020-03-28,13085
Bayern,2020-03-29,14399
Bayern,2020-03-30,15541
Bayern,2020-03-31,16850
Bayern,2020-04-01,18654
Bayern,2020-04-02,22338
Berlin,2020-03-08,40
Berlin,2020-03-09,48
Berlin,2020-03-10,58
Berlin,2020-03-11,90
Berlin,2020-03-12,137
Berlin,2020-03-13,176
Berlin,2020-03-14,263
Berlin,2020-03-15,283
Berlin,2020-03-16,332
Berlin,2020-03-17,383
Berlin,2020-03-18,519
Berlin,2020-03-19,688
Berlin,2020-03-20,868
Berlin,2020-03-21,1025
Berlin,2020-03-22,1071
